representation,C,repeat,oof_samples,oof_participants,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp
B only,0.02,1,1317,106,0.6651480637813212,0.6226615337198551,0.6098034697303881,0.7567567567567568,0.2100918073509796,0.6844618837992336,0.6072619422328517,190,169,272,686,0.6792452830188679,0.61875,0.6048245614035088,0.7763157894736842,0.2021064963823776,0.7057692307692308,0.5914578492824462,13,13,21,59
B only,0.02,2,1317,106,0.6818526955201215,0.6245645815039457,0.6175568598831926,0.7743672590199246,0.2146423934372806,0.6455737056658196,0.6234135913115812,179,180,239,719,0.7169811320754716,0.64375,0.635989010989011,0.8076923076923077,0.2042132760164455,0.6745192307692308,0.600486278424629,13,13,17,63
B only,0.02,3,1317,106,0.6795747911921033,0.6325780264129657,0.6217330581842337,0.769650655021834,0.2174278150371384,0.6609827228266875,0.6280539385535914,190,169,253,705,0.6981132075471698,0.6442307692307692,0.6280701754385964,0.7894736842105263,0.2138743718837429,0.6677884615384615,0.6184709993674161,14,12,20,60
B only,0.02,4,1317,106,0.6522399392558846,0.5920179575601444,0.585338858610468,0.7518959913326111,0.2162726256516894,0.6484886107896558,0.6218160058425509,165,194,264,694,0.6886792452830188,0.5860576923076923,0.5849056603773586,0.7924528301886793,0.2063667734645171,0.6673076923076924,0.5997791992935163,10,16,17,63
B only,0.02,5,1317,106,0.6233864844343204,0.5634766022528364,0.5566402962464232,0.7286652078774617,0.2360684721077411,0.5830871534824756,0.6747561097499855,155,204,292,666,0.6698113207547169,0.5995192307692307,0.5890107455411544,0.7712418300653595,0.2244062366967457,0.5961538461538461,0.6446528344694306,12,14,21,59
B only,0.02,6,1317,106,0.6879271070615034,0.6400608277458262,0.6297639200960325,0.7765089722675367,0.2113410376982457,0.6732093323486139,0.6169005935609686,192,167,244,714,0.7169811320754716,0.6697115384615384,0.6513157894736843,0.8026315789473685,0.2028981630259515,0.6841346153846153,0.6000885734619781,15,11,19,61
B only,0.02,7,1317,106,0.6772968868640851,0.6153371985508342,0.609726081363283,0.7721179624664879,0.21291012565423,0.6433173801036282,0.6166688620000008,172,187,238,720,0.6981132075471698,0.6182692307692308,0.6117216117216117,0.7948717948717948,0.2004742978258725,0.6610576923076923,0.5914151648280336,12,14,18,62
B only,0.02,8,1317,106,0.6871678056188307,0.6343138851251156,0.6258935466078324,0.7772972972972974,0.2028221627700318,0.6897319741104088,0.5941365302726908,186,173,239,719,0.7264150943396226,0.65,0.6440069484655472,0.8152866242038217,0.1917570748334646,0.71875,0.5695519284484978,13,13,16,64
B only,0.02,9,1317,106,0.7312072892938497,0.677647838754136,0.6716238145950606,0.8115015974440895,0.198702900113556,0.697040317281244,0.5897069274520989,201,158,196,762,0.7169811320754716,0.64375,0.635989010989011,0.8076923076923077,0.1916879043954803,0.7298076923076923,0.5754286487495446,13,13,17,63
B only,0.02,10,1317,106,0.6621108580106302,0.597061252260687,0.5919827231506023,0.7611379495437467,0.2253482801425883,0.6183960316583411,0.6524453074825005,163,196,249,709,0.6981132075471698,0.6052884615384615,0.6024378809188936,0.7974683544303798,0.2156222780624141,0.6283653846153846,0.626207767777538,11,15,17,63
B only,0.02,11,1317,106,0.6529992406985573,0.5864440192834421,0.5816149978485325,0.754433100483611,0.2234154981939359,0.6291077628066829,0.6417704403517679,158,201,256,702,0.6981132075471698,0.63125,0.6202418271383789,0.7922077922077922,0.2088892808656993,0.6663461538461538,0.6068943128842423,13,13,19,61
B only,0.02,12,1317,106,0.6689445709946849,0.6095960712021912,0.6029292174923243,0.7648327939590076,0.2095845142354107,0.6716886387029618,0.6060581937725364,172,187,249,709,0.6981132075471698,0.63125,0.6202418271383789,0.7922077922077922,0.1982179416437164,0.6990384615384615,0.5813688709188368,13,13,19,61
B only,0.02,13,1317,106,0.6848899012908124,0.6327481231209402,0.6239961914956704,0.7753113156469952,0.2018038171250235,0.693722704566733,0.5896654424510347,186,173,242,716,0.7264150943396226,0.6759615384615385,0.6594660463055279,0.8104575163398693,0.1954095839612335,0.7124999999999999,0.5766736609343359,15,11,18,62
B only,0.02,14,1317,106,0.6924829157175398,0.6379673298015247,0.6303353896245657,0.7819063004846527,0.2029720852225933,0.6955327079977437,0.5944817121336111,186,173,232,726,0.7169811320754716,0.6567307692307692,0.6439767129422302,0.8051948051948052,0.1922702913704672,0.7302884615384616,0.5701902544974788,14,12,18,62
B only,0.02,15,1317,106,0.6780561883067577,0.620213304179436,0.613282288804184,0.771551724137931,0.2151759259425067,0.6639296119468949,0.6321463304368558,177,182,242,716,0.7358490566037735,0.6692307692307693,0.6602564102564102,0.8205128205128205,0.2056216934534116,0.6783653846153846,0.6068932477678775,14,12,16,64
B only,0.02,16,1317,106,0.6514806378132119,0.5871418519315426,0.5816718510496213,0.7525606469002696,0.2352705656127327,0.6042634667162903,0.6812480460485587,160,199,260,698,0.6886792452830188,0.625,0.6124958457959455,0.7843137254901961,0.220344457413345,0.6283653846153846,0.6396795562637432,13,13,20,60
